,Mean Absolute Error,Mean Absolute Percentage Error (%),Mean Absolute Scaled Error,r2,Forecast Bias (%),modeltype,customer
0,8694.017167431097,108.86594684589429,12.358954700771552,-0.8133437645238357,-77.56736855919726,arima,a
1,10241.937639674028,156.93955337556957,14.559396525123276,-1.1546246416995514,-91.37779881928284,ets,a
2,3742.657960052909,29.850593088296133,5.320364487207871,0.5968750212074483,4.831446578698717,forest,a
3,3455.9157653346274,27.33756533423955,4.912746958155971,0.6167074535256665,0.0237001516553123,xgboost,a
4,4810.290716734872,34.64203849142327,6.838054712886484,-0.1030198843111689,-29.90163776023177,rnn,a
5,5368.3073477182525,41.52510634607935,7.631301624157367,-0.0304930716249856,-15.098169250034848,lstm,a
0,3555.117698739379,18.51533834915218,1.2930124111028531,-0.1025197651898097,-8.650980947500868,arima,b
1,6122.126471099998,35.41715058316969,2.226645129718368,-1.4058863051027577,-30.990836907059023,ets,b
2,2921.989997486773,15.223976339183832,1.062740998197755,0.4107686502074539,6.086624075422817,forest,b
3,2997.014709154747,15.699485856667966,1.090027825680429,0.3592272269368002,4.48780365931333,xgboost,b
4,6118.457476686497,29.827475525683013,2.2253106998302643,-0.934378320460714,26.80494769535668,rnn,b
5,6469.710166666657,30.546283564644384,2.353062894290284,-1.5389912918539983,25.98683212033692,lstm,b
0,16752.22450272037,28.781760853513,4.0705707008339065,-0.5301330542139764,-22.37734761769897,arima,c
1,25277.18635723943,48.89010003735896,6.14202455134175,-2.1898551043428185,-42.351889680890885,ets,c
2,7661.864653968258,13.24625871978892,1.861732557913936,0.6289428981465275,-1.408760818915456,forest,c
3,9122.948534659236,15.746215411623584,2.216756765907066,0.4965393607907198,-5.490876408091549,xgboost,c
4,22674.982509424564,42.2372057718851,5.509723167200656,-1.6835900180587051,-37.65065728917267,rnn,c
5,16816.704031498004,28.87044764494311,4.086238380108572,-0.5401198052747407,-21.370401192972103,lstm,c
0,10757.607461949488,25.544185979513244,2.717135705138856,-0.243462332996958,-7.83272554461258,arima,d
1,11108.20608201314,26.03676862633349,2.805689227110806,-0.1800439147346977,11.834145017595484,ets,d
2,6921.61301415344,16.641565393948696,1.7482476400474554,0.3899093758780616,-1.3442603628890666,forest,d
3,7674.808217224252,19.20672017167061,1.9384882289926983,0.2916503070857722,-7.573221783052716,xgboost,d
4,10160.062988095242,24.156888711391176,2.5662090766054555,-0.0221509207110728,-5.223120828080722,rnn,d
5,11132.229894097238,26.628031891865163,2.811757115144287,-0.2963792305704131,-15.236810684801814,lstm,d
0,3940.528385039378,115.38850044851225,16.16827083383933,-5.337459050525814,-74.83008513398119,arima,e
1,1963.2514268307443,36.3151707074859,8.055361535887977,-1.142796874119636,34.66433240476091,ets,e
2,1093.680643386243,22.875079862374257,4.487450189454662,0.3847216517080306,2.1726400157695007,forest,e
3,1426.673132757052,27.49184611671552,5.853742277140714,-0.5637803226725164,4.374340161454803,xgboost,e
4,2251.8537147662523,49.666557847886864,9.239517440543477,-1.3345221641854752,-37.89321878796062,rnn,e
5,2536.803221137161,57.73878157438427,10.408685720225249,-1.8625279576820095,-44.70370155006828,lstm,e
0,4898.372443514056,56.07815576736274,5.488501969891793,-1.503660291010319,-46.56056072725166,arima,f
1,6738.164337326179,90.75356655941714,7.549942080830922,-3.039172607240741,-66.10659171323601,ets,f
2,2136.6437509259263,21.17135428426952,2.394055080773134,0.447577109888947,0.4768910458419247,forest,f
3,2143.7438071447905,22.598676271943496,2.4020105135200205,0.4135301263286206,-0.3553749939082619,xgboost,f
4,10109.956561848954,197.2518204470796,11.327949670038032,-6.917579552841326,-99.77923577247218,rnn,f
5,3159.5686209077385,32.7847935499859,3.5402164289940967,-0.0048082376390907,-3.832002429715394,lstm,f
0,4580.828169583296,81.76414951776756,6.967597725599277,-12.832122000348145,136.39730185953857,arima,g
1,1099.3464546679395,38.06601802864731,1.6721438948640488,-1.9471051906805315e-05,-0.4404549503070486,ets,g
2,552.1642939153438,21.7892515944307,0.839860945666437,0.7443773809514049,3.12855143785542,forest,g
3,589.1828885475488,20.41736107740785,0.8961675055756021,0.7221090724779156,-1.7619544041893926,xgboost,g
4,1077.1631605902771,36.65253182101431,1.6384023390492888,-0.0831710768712059,15.61306517832467,rnn,g
5,1129.8703539496532,39.19400841301079,1.718571799019868,-0.019211963082764,-4.139525360722335,lstm,g
0,18684.6347624116,57.50661253612272,5.638199228886704,-0.2380340026101848,-27.88922505105885,arima,h
1,19721.60592016793,61.27224028002362,5.951111418842988,-0.445361070855379,-37.9557127186579,ets,h
2,8527.397214682533,27.41037615826704,2.573192626540171,0.726736153286825,-1.5249105973225547,forest,h
3,8594.456655065682,26.086440613264607,2.593428209941484,0.6876710660950929,-0.9740702623819812,xgboost,h
4,19734.19741635665,61.70927246389577,5.954910977411003,-0.412869207503588,-37.26292723511192,rnn,h
5,19661.06016579861,61.22614326386475,5.932841378783967,-0.4644912226608171,-41.71000406658779,lstm,h
0,9889.279381617103,47.71604720164711,9.784565349346863,-1.4287665798911546,-34.525033337071434,arima,i
1,6579.494650047116,28.7766364644918,6.50982674114087,-0.0640694528638459,-8.506737583706578,ets,i
2,3753.9754477513256,16.408043238344643,3.714225948216684,0.5679793961822406,1.635884951143148,forest,i
3,3759.2994621238463,16.507693699418837,3.71949358851064,0.5698351507795074,-1.879133284314051,xgboost,i
4,6634.061603670634,29.01902996252411,6.563815904864627,-0.1130439356803363,-11.341757056129955,rnn,i
5,8051.568156746027,36.30988291432984,7.9663129894829,-0.6990095887822152,-28.126303035825494,lstm,i
