Date,Abgabe
2014-11-10/2014-11-16,305.33
2016-01-25/2016-01-31,0.0
2016-03-07/2016-03-13,0.0
2016-06-06/2016-06-12,0.0
2016-07-04/2016-07-10,2519.35
2016-07-11/2016-07-17,548.89
2016-07-18/2016-07-24,327.73
2016-07-25/2016-07-31,3527.96
2016-08-01/2016-08-07,6200.13
2016-08-08/2016-08-14,3012.27
2016-08-22/2016-08-28,60.8
2016-08-29/2016-09-04,1410.57
2016-09-19/2016-09-25,582.79
2016-09-26/2016-10-02,2853.95
2016-10-10/2016-10-16,2602.95
2016-10-17/2016-10-23,1990.71
2016-10-31/2016-11-06,0.0
2016-11-07/2016-11-13,1233.26
2016-11-14/2016-11-20,1036.12
2016-11-28/2016-12-04,0.0
2016-12-05/2016-12-11,502.17
2016-12-12/2016-12-18,4416.9800000000005
2016-12-19/2016-12-25,2236.08
2017-01-02/2017-01-08,2763.1
2017-01-09/2017-01-15,1324.03
2017-01-16/2017-01-22,5031.25
2017-01-23/2017-01-29,2258.28
2017-01-30/2017-02-05,1045.81
2017-02-06/2017-02-12,1160.57
2017-02-20/2017-02-26,10456.779999999999
2017-02-27/2017-03-05,3172.7000000000003
2017-03-13/2017-03-19,5703.52
2017-03-20/2017-03-26,1631.57
2017-03-27/2017-04-02,3676.7700000000004
2017-04-03/2017-04-09,1388.0100000000002
2017-04-17/2017-04-23,57.16
2017-04-24/2017-04-30,0.0
2017-05-01/2017-05-07,0.0
2017-05-08/2017-05-14,3853.7299999999996
2017-05-15/2017-05-21,3092.81
2017-05-22/2017-05-28,4753.22
2017-05-29/2017-06-04,481.37
2017-06-05/2017-06-11,1723.67
2017-06-12/2017-06-18,6889.459999999999
2017-06-19/2017-06-25,2660.24
2017-06-26/2017-07-02,6370.38
2017-07-03/2017-07-09,2103.2599999999998
2017-07-10/2017-07-16,575.14
2017-07-17/2017-07-23,3007.28
2017-07-24/2017-07-30,3745.75
2017-07-31/2017-08-06,1150.43
2017-08-07/2017-08-13,6257.25
2017-08-14/2017-08-20,4837.5
2017-08-21/2017-08-27,1383.13
2017-08-28/2017-09-03,302.36
2017-09-04/2017-09-10,1328.54
2017-09-11/2017-09-17,850.8
2017-09-18/2017-09-24,1031.54
2017-09-25/2017-10-01,3056.17
2017-10-02/2017-10-08,1788.8899999999999
2017-10-16/2017-10-22,497.97
2017-10-23/2017-10-29,360.23
2017-10-30/2017-11-05,2489.6400000000003
2017-11-06/2017-11-12,2261.14
2017-11-13/2017-11-19,787.6500000000001
2017-11-20/2017-11-26,2587.0499999999997
2017-12-04/2017-12-10,4167.91
2017-12-11/2017-12-17,858.9
2017-12-18/2017-12-24,10670.580000000002
2018-01-01/2018-01-07,0.0
2018-01-08/2018-01-14,8648.82
2018-01-15/2018-01-21,1343.33
2018-01-22/2018-01-28,1835.8
2018-01-29/2018-02-04,1341.23
2018-02-05/2018-02-11,910.74
2018-02-12/2018-02-18,0.0
2018-02-19/2018-02-25,2810.33
2018-02-26/2018-03-04,2841.68
2018-03-05/2018-03-11,7909.09
2018-03-12/2018-03-18,2835.66
2018-03-19/2018-03-25,10380.42
2018-03-26/2018-04-01,9776.630000000001
2018-04-02/2018-04-08,4243.63
2018-04-09/2018-04-15,5100.6
2018-04-16/2018-04-22,0.0
2018-04-23/2018-04-29,3160.3500000000004
2018-04-30/2018-05-06,1069.11
2018-05-07/2018-05-13,979.69
2018-05-14/2018-05-20,5306.0
2018-05-21/2018-05-27,2457.09
2018-05-28/2018-06-03,5977.43
2018-06-04/2018-06-10,1284.48
2018-06-11/2018-06-17,7497.66
2018-06-18/2018-06-24,2394.77
2018-06-25/2018-07-01,8923.27
2018-07-02/2018-07-08,12188.44
2018-07-09/2018-07-15,32094.13
2018-07-16/2018-07-22,26427.579999999998
2018-07-23/2018-07-29,14875.54
2018-07-30/2018-08-05,3047.3
2018-08-06/2018-08-12,17538.14
2018-08-13/2018-08-19,7543.13
2018-08-20/2018-08-26,10257.49
2018-08-27/2018-09-02,10203.07
2018-09-03/2018-09-09,2405.3
2018-09-10/2018-09-16,25781.88
2018-09-17/2018-09-23,2897.7
2018-09-24/2018-09-30,6858.889999999999
2018-10-01/2018-10-07,16628.11
2018-10-08/2018-10-14,29058.239999999998
2018-10-15/2018-10-21,10979.01
2018-10-22/2018-10-28,7232.09
2018-10-29/2018-11-04,6467.08
2018-11-05/2018-11-11,12868.91
2018-11-12/2018-11-18,0.0
2018-11-19/2018-11-25,7199.25
2018-11-26/2018-12-02,1830.06
2018-12-03/2018-12-09,1436.4
2018-12-10/2018-12-16,9451.17
2018-12-17/2018-12-23,2232.96
2018-12-24/2018-12-30,469.43
2018-12-31/2019-01-06,15721.760000000002
2019-01-07/2019-01-13,3384.46
2019-01-14/2019-01-20,20465.37
2019-01-21/2019-01-27,21703.78
2019-01-28/2019-02-03,20825.83
2019-02-04/2019-02-10,20700.030000000002
2019-02-11/2019-02-17,2724.82
2019-02-18/2019-02-24,29046.75
2019-02-25/2019-03-03,6242.98
2019-03-04/2019-03-10,10102.23
2019-03-11/2019-03-17,561.52
2019-03-18/2019-03-24,9188.49
2019-03-25/2019-03-31,7575.75
2019-04-01/2019-04-07,7313.72
2019-04-08/2019-04-14,24150.25
2019-04-15/2019-04-21,657.08
2019-04-22/2019-04-28,13086.84
2019-04-29/2019-05-05,8173.919999999999
2019-05-06/2019-05-12,3644.13
2019-05-13/2019-05-19,3029.21
2019-05-20/2019-05-26,13009.929999999998
2019-05-27/2019-06-02,14679.630000000001
2019-06-03/2019-06-09,18810.75
2019-06-10/2019-06-16,16348.39
2019-06-17/2019-06-23,11994.43
2019-06-24/2019-06-30,20058.68
2019-07-01/2019-07-07,13508.72
2019-07-08/2019-07-14,10384.36
2019-07-15/2019-07-21,9396.05
2019-07-22/2019-07-28,14334.27
2019-07-29/2019-08-04,13088.900000000001
2019-08-05/2019-08-11,15204.510000000002
2019-08-12/2019-08-18,19526.41
2019-08-19/2019-08-25,13906.609999999999
2019-08-26/2019-09-01,2290.84
2019-09-02/2019-09-08,1874.28
2019-09-09/2019-09-15,3539.33
2019-09-16/2019-09-22,17158.81
2019-09-23/2019-09-29,10849.62
2019-09-30/2019-10-06,13154.220000000001
2019-10-07/2019-10-13,6873.72
2019-10-14/2019-10-20,10959.08
2019-10-21/2019-10-27,4023.6499999999996
2019-10-28/2019-11-03,11805.09
2019-11-04/2019-11-10,16086.720000000001
2019-11-11/2019-11-17,369.0
